"player_name","club","position","minutes_played","match_played","goals","assists","distance_covered","corner_taken","offsides","dribbles","tackles","t_won","t_lost","balls_recoverd","clearance_attempted","total_attempts","on_target","off_target","blocked","red","yellow","fouls_committed","fouls_suffered","cross_accuracy","cross_attempted","cross_complted","freekicks_taken","pass_accuracy","pass_attempted","pass_completed","right_foot","left_foot","headers","penalties","others","inside_area","outside_areas","saved","saved_penalties","conceded","cleansheets","punches made"
Morton,Liverpool,Midfielder,180,2,0,0,23.5,,,,5,4,1,9,2,,,,,0,0,1,1,0,0,0,2,88,76,67,,,,,,,,,,,,
Phillips,Liverpool,Defender,91,2,0,0,11.2,,,,1,1,0,5,3,,,,,0,0,2,0,0,0,0,1,44,37,33,,,,,,,,,,,,
Elliott,Liverpool,Midfielder,59,1,0,0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woltman,Liverpool,Midfielder,1,1,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley,Liverpool,Midfielder,1,1,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Torres,Villarreal,Defender,1080,12,1,0,124.2,,,,7,3,4,49,62,4,1,3,0,1,0,3,2,0,0,0,16,88,506,457,1,0,0,0,0,1,0,,,,,
Rulli,Villarreal,Goalkeeper,1080,12,0,0,61.2,,,,,,,,,,,,,,,,,0,0,0,53,68,489,332,,,,,,,,41,0,16,3,12
Parejo,Villarreal,Midfielder,1055,12,1,3,130.9,36,0,4,17,8,9,48,5,5,1,4,0,2,0,4,17,56,37,21,52,84,657,560,0,1,0,0,0,1,0,,,,,
Capoue,Villarreal,Midfielder,1046,12,2,4,130.9,0,0,17,11,1,10,62,29,9,3,4,2,3,1,19,17,50,2,1,4,87,491,438,1,1,0,0,0,2,0,,,,,
Albiol,Villarreal,Defender,1045,12,0,0,115.7,,,,9,6,3,73,62,2,0,1,1,1,0,9,6,0,1,0,14,85,440,385,,,,,,,,,,,,
Ederson,Man. City,Goalkeeper,1003,11,0,0,51.6,,,,,,,,,,,,,,,,,0,0,0,21,89,318,277,,,,,,,,14,0,14,4,1
Mahrez,Man. City,Midfielder,986,12,7,2,120.1,30,5,28,6,1,5,20,3,37,18,8,11,1,0,6,20,24,49,12,11,84,482,414,1,4,2,2,0,7,0,,,,,
Danjuma,Villarreal,Midfielder,906,11,6,2,107.8,3,8,31,1,0,1,3,5,25,14,5,6,0,0,6,7,38,13,5,0,78,165,128,3,3,0,1,0,6,0,,,,,
Vertonghen,Benfica,Defender,900,10,0,1,97.9,0,0,3,9,6,3,51,51,7,2,3,2,0,0,5,4,0,1,0,9,83,424,360,,,,,,,,,,,,
Vlachodimos,Benfica,Goalkeeper,900,10,0,0,55.4,,,,,,,,,,,,,,,,,0,0,0,52,73,345,247,,,,,,,,38,1,17,5,5
Oblak,Atlético,Goalkeeper,900,10,0,0,52.7,,,,,,,,,,,,,,,,,0,0,0,31,55,283,158,,,,,,,,26,0,10,3,2
Foyth,Villarreal,Defender,891,10,0,0,98.7,,,,20,10,10,55,30,4,0,2,2,1,0,9,7,0,1,0,8,82,347,290,,,,,,,,,,,,
Bernardo Silva,Man. City,Midfielder,878,11,3,3,120.3,2,3,18,9,4,5,25,5,7,4,2,1,0,0,10,6,23,17,4,5,91,462,427,0,3,0,0,0,3,0,,,,,
Lewandowski,Bayern,Forward,876,10,13,3,99.7,0,7,1,4,0,4,7,0,31,19,8,4,1,0,11,13,10,10,1,1,79,206,163,8,3,1,3,1,13,0,,,,,
Grimaldo,Benfica,Defender,863,10,0,3,107.7,11,1,10,15,6,9,34,24,3,1,1,1,2,0,5,9,41,34,14,21,81,319,257,,,,,,,,,,,,
Rodri,Man. City,Midfielder,842,10,0,0,114.6,,,,14,10,4,52,5,6,0,1,5,2,0,19,4,0,1,0,13,94,806,760,,,,,,,,,,,,
João Cancelo,Man. City,Defender,840,9,2,3,100.3,0,2,26,9,6,3,56,13,11,4,3,4,3,0,11,4,20,29,6,11,88,668,586,2,0,0,0,0,1,1,,,,,
Rüdiger,Chelsea,Defender,840,9,1,0,88.4,,,,9,5,4,46,16,11,1,8,2,2,0,11,3,0,4,0,12,90,750,681,0,0,1,0,0,1,0,,,,,
Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4,0,0,8,6,5,1,36,15,2,0,2,0,3,0,7,7,0,0,0,7,85,208,173,,,,,,,,9,0,7,5,2
Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4,0,0,8,6,5,1,36,15,2,0,2,0,3,0,7,7,25,12,3,4,91,413,376,,,,,,,,9,0,7,5,2
Reinildo,LOSC,Defender,816,10,0,0,88.8,,,,13,6,7,76,20,,,,,2,0,15,15,30,10,3,11,81,364,302,,,,,,,,,,,,
